DATE;Bahía Blanca ‐ Cerri;Cdro. Rivadavia – Rada Tilly;Ciudad de Buenos Aires;Concordia;Corrientes;Formosa;Gran Catamarca;Gran Córdoba;Gran La Plata;Gran Mendoza;Gran Paraná;Gran Resistencia;Gran Rosario;Gran San Juan;Gran Santa Fé;Gran Tucumán ‐ T. Viejo;Jujuy ‐ Palpalá;La Rioja;Mar del Plata ‐ Batán;Neuquén – Plottier;Partidos del GBA;Posadas;Rawson – Trelew;Río Cuarto;Río Gallegos;S.del Estero ‐ La Banda;Salta;San Luis ‐ El Chorrillo;San Nicolás – Villa Constitución;Santa Rosa ‐ Toay;Ushuaia ‐ Río Grande;Viedma – Carmen de Patagones
2012-01-01;8.72340425531915;13.59773371104816;7.449494949494949;19.565217391304348;17.748091603053435;11.76470588235294;18.816067653276956;13.757396449704142;8.436213991769549;12.084592145015106;14.5610278372591;16.701902748414376;11.188811188811188;12.0;11.284046692607005;24.462809917355372;19.246861924686193;18.850574712643677;5.964214711729622;14.463840399002494;12.785636561479869;14.855875831485587;16.25;11.61137440758294;13.958333333333334;16.150442477876105;19.593345656192238;15.082644628099173;9.565217391304348;14.893617021276595;12.928759894459102;14.775160599571734
2012-04-01;9.071729957805907;13.858695652173914;9.339975093399751;18.773946360153257;16.795366795366796;9.843400447427292;23.0;13.452914798206278;7.7067669172932325;11.30030959752322;15.674603174603174;17.558886509635975;8.94308943089431;10.51454138702461;9.881422924901186;23.484848484848484;19.402985074626866;19.675925925925927;9.01639344262295;12.796208530805686;12.654155495978554;14.096916299559473;16.700610997963338;11.347517730496454;14.166666666666666;16.989247311827956;23.364485981308412;12.778904665314403;10.040983606557377;12.47216035634744;10.817307692307693;12.258064516129032
2012-07-01;11.752577319587628;11.27450980392157;8.947368421052632;18.83495145631068;18.84057971014493;15.65217391304348;22.54901960784314;12.63888888888889;8.102345415778252;12.874251497005988;14.049586776859504;16.519823788546255;11.93029490616622;10.772833723653395;9.195402298850574;21.19815668202765;22.17391304347826;16.822429906542055;10.964912280701753;11.246943765281173;12.435824301197947;14.864864864864865;14.634146341463413;10.344827586206897;8.49673202614379;15.320910973084887;22.22222222222222;13.387423935091277;10.848126232741617;10.42128603104213;10.602409638554217;14.831460674157304
2012-10-01;9.836065573770492;11.922141119221411;7.865168539325842;17.716535433070867;18.016194331983808;18.025751072961373;19.672131147540984;11.678832116788321;8.333333333333332;11.791044776119403;13.157894736842104;13.365155131264917;9.803921568627452;11.085972850678733;10.51625239005736;22.748815165876778;21.61572052401747;14.216867469879519;10.59322033898305;11.11111111111111;12.105565117613311;15.54524361948956;14.344262295081966;10.282776349614396;10.940919037199125;15.236051502145923;19.73929236499069;14.37371663244353;7.792207792207792;10.823529411764705;11.586901763224182;14.027149321266968
2013-01-01;7.543103448275862;12.158808933002481;6.983655274888559;15.606936416184972;16.56686626746507;12.978723404255318;20.0;13.876967095851217;6.621004566210045;11.56773211567732;12.121212121212121;14.213197969543149;11.387434554973822;9.131403118040089;11.646586345381527;22.36024844720497;17.94871794871795;17.067833698030636;9.090909090909092;11.380145278450362;13.682432432432432;14.285714285714285;11.940298507462686;6.829268292682928;9.785202863961814;13.926940639269406;17.009345794392523;12.159329140461216;9.456740442655935;8.13953488372093;12.5;12.584269662921349
2013-04-01;7.214428857715431;13.172043010752688;8.29817158931083;15.606936416184972;17.227722772277225;10.408163265306122;20.69672131147541;12.092391304347826;6.809338521400778;9.70724191063174;12.830957230142568;17.22488038277512;10.99476439790576;9.90783410138249;9.263157894736842;22.105263157894736;19.246861924686193;14.628820960698691;7.249466950959488;12.189054726368159;13.159387407827566;18.651685393258425;11.663066954643629;7.529411764705881;10.833333333333334;14.476614699331849;20.32967032967033;12.761506276150628;9.939148073022313;6.535947712418301;15.113350125944585;13.288288288288289
2013-07-01;8.617234468937877;11.405835543766578;9.594594594594595;18.633540372670808;16.49484536082474;13.865546218487395;21.2;10.95360824742268;5.7654075546719685;10.32934131736527;8.860759493670885;13.19796954314721;10.860927152317881;9.647058823529411;7.07070707070707;20.176730486008836;15.665236051502147;14.628820960698691;7.6923076923076925;10.335917312661499;13.237639553429027;17.942583732057415;10.590631364562118;8.796296296296296;11.899313501144166;14.955357142857142;20.0;14.96881496881497;9.881422924901186;7.1258907363420425;12.082262210796916;13.495575221238937
2013-10-01;11.259541984732824;10.268948655256724;7.731305449936629;16.560509554140125;16.666666666666664;17.4468085106383;17.813765182186234;16.343490304709142;9.12621359223301;9.261939218523878;12.445414847161572;15.938303341902312;13.71191135734072;11.086474501108649;9.631147540983607;22.55054432348367;15.236051502145923;14.093959731543624;7.981220657276995;12.195121951219512;14.113680154142582;17.761557177615572;12.345679012345679;9.280742459396752;20.10723860589812;19.630484988452658;22.361359570661897;12.371134020618557;9.2;7.334963325183375;12.467532467532468;12.783505154639174
2014-01-01;6.952965235173824;13.82716049382716;6.839622641509433;12.147505422993492;12.068965517241379;18.101545253863137;15.524193548387096;12.78295605858855;10.297029702970297;9.339080459770114;13.001912045889103;8.378378378378379;8.073654390934843;8.582834331337326;10.352422907488986;18.512898330804248;12.608695652173912;10.897435897435898;7.654320987654321;12.32876712328767;10.850310008857395;11.845102505694761;13.034188034188036;9.647058823529411;10.02710027100271;20.224719101123593;21.009771986970684;9.053497942386832;7.6;6.190476190476191;9.263657957244655;9.30232558139535
2014-04-01;3.790613718411552;15.267175572519085;5.319148936170213;11.894273127753303;10.183299389002038;16.52173913043478;12.085769980506821;12.3015873015873;8.048289738430583;9.324324324324325;9.108527131782946;8.88888888888889;7.297297297297297;10.869565217391305;7.216494845360824;15.11627906976744;10.065645514223196;9.607843137254903;5.707762557077626;7.792207792207792;11.574261432618373;6.823027718550106;9.18803418803419;7.797270955165692;6.824146981627297;15.767634854771783;18.155619596541786;7.7894736842105265;9.514563106796116;6.074766355140187;9.684684684684685;9.375
